timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6093,-3493,-693,10561,45,-85,420,03/03/2022 11:23:15
6094,-3421,-784,10399,115,-314,69,03/03/2022 11:23:15
6095,-1473,-732,9542,26,-209,-509,03/03/2022 11:23:15
6096,-727,363,9585,-6,22,-862,03/03/2022 11:23:15
6097,-1617,732,10437,2,-69,-943,03/03/2022 11:23:15
6098,-162,660,10236,-9,19,-1394,03/03/2022 11:23:15
6099,746,1780,9135,-362,112,-1627,03/03/2022 11:23:15
6100,1521,1378,10131,116,230,-1658,03/03/2022 11:23:16
6101,1512,2234,10667,12,515,-1576,03/03/2022 11:23:16
6102,186,2780,10595,-85,-166,-1104,03/03/2022 11:23:16
6103,914,1722,9284,33,-227,-1075,03/03/2022 11:23:16
6104,880,1550,9470,126,172,-1247,03/03/2022 11:23:16
6105,3081,2612,10054,149,-9,-1252,03/03/2022 11:23:16
6106,3029,2292,10145,-249,-201,-771,03/03/2022 11:23:16
6107,3359,1904,10164,-4,34,-504,03/03/2022 11:23:16
6108,5379,2790,10509,-75,195,-347,03/03/2022 11:23:16
6109,5245,3091,10719,-218,135,206,03/03/2022 11:23:16
6110,2957,2187,10001,-160,-72,805,03/03/2022 11:23:16
6111,2589,2005,9111,-421,-34,931,03/03/2022 11:23:16
6112,2354,1852,8997,-109,-236,1401,03/03/2022 11:23:16
6113,1612,1579,9724,97,-175,1675,03/03/2022 11:23:16
6114,1249,1746,9714,37,-37,1705,03/03/2022 11:23:16
6115,239,1607,9877,27,-118,1848,03/03/2022 11:23:16
6116,-535,1138,9930,137,-31,1814,03/03/2022 11:23:16
6117,-1928,555,10045,52,39,1645,03/03/2022 11:23:16
6118,-1794,287,9915,101,-59,1498,03/03/2022 11:23:16
6119,-2847,114,10313,192,111,1262,03/03/2022 11:23:17
6120,-3924,-521,10576,97,102,857,03/03/2022 11:23:17
6121,-4326,-579,10427,2,77,497,03/03/2022 11:23:17
6122,-4666,-387,9781,-85,-9,-133,03/03/2022 11:23:17
6123,-4311,-698,9466,-22,-46,-477,03/03/2022 11:23:17
