timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date,label
5411,-1134,-2191,9523,-108,-125,-70,3/3/2022 11:21,
5412,-1148,-2766,9384,-9,-108,-197,3/3/2022 11:21,
5413,-665,-2770,9475,100,-63,-429,3/3/2022 11:21,
5414,-689,-1909,10174,-91,83,-849,3/3/2022 11:21,
5415,-368,-631,9628,19,81,-1037,3/3/2022 11:21,
5416,-358,-47,10169,-7,170,-1224,3/3/2022 11:21,
5417,-215,1378,10336,-50,218,-1387,3/3/2022 11:21,
5418,-899,2904,12035,-11,167,-1247,3/3/2022 11:21,
5419,358,3187,10691,-90,-163,-1125,3/3/2022 11:21,
5420,440,1981,10174,-234,-37,-1114,3/3/2022 11:21,
5421,942,2584,9710,-220,-49,-1116,3/3/2022 11:21,
5422,1105,2191,9212,-10,-166,-850,3/3/2022 11:21,
5423,1057,2000,8958,-7,-179,-808,3/3/2022 11:21,
5424,918,1871,9102,3,-220,-729,3/3/2022 11:21,
5425,2699,2976,8968,81,-148,-741,3/3/2022 11:21,
5426,3775,3565,9198,-122,-98,-464,3/3/2022 11:21,
5427,4268,3862,9250,-30,-7,-196,3/3/2022 11:21,
5428,3661,3637,10145,-117,72,309,3/3/2022 11:21,
5429,2938,3306,10403,-95,42,567,3/3/2022 11:21,
5430,1995,2622,9801,-77,-160,938,3/3/2022 11:21,
5431,1785,1521,8657,1,-170,1105,3/3/2022 11:21,
5432,861,894,8743,141,-222,1073,3/3/2022 11:21,
5433,1234,325,7211,301,-50,1021,3/3/2022 11:21,
5434,751,1033,9700,707,154,912,3/3/2022 11:21,
5435,1660,1746,9968,343,-2,886,3/3/2022 11:21,
5436,1349,1641,10360,432,144,1051,3/3/2022 11:21,
5437,703,1172,11155,329,94,1073,3/3/2022 11:21,
5438,602,885,10758,98,155,1086,3/3/2022 11:21,
5439,-71,-445,10834,167,70,1157,3/3/2022 11:21,
5440,-296,-1713,10389,32,36,965,3/3/2022 11:21,
5441,-612,-2105,8274,137,-140,941,3/3/2022 11:21,
5442,-1081,-2517,10207,468,132,636,3/3/2022 11:21,
5443,-1488,-1651,10399,128,39,-35,3/3/2022 11:21,
5444,-1253,-1249,10193,-13,144,-409,3/3/2022 11:21,
5445,-976,-416,11260,51,216,-714,3/3/2022 11:21,
5446,-803,531,11083,-141,95,-970,3/3/2022 11:21,
5447,-1402,923,11117,-72,20,-1065,3/3/2022 11:21,
5448,-382,1732,9700,-5,-342,-1223,3/3/2022 11:21,
5449,-47,1938,9427,-220,-35,-1391,3/3/2022 11:21,
5450,354,3268,9719,-60,-94,-1314,3/3/2022 11:21,
5451,1033,2608,9657,-65,-242,-1184,3/3/2022 11:21,
5452,722,2210,8575,-23,53,-931,3/3/2022 11:21,
5453,765,3043,9647,114,64,-890,3/3/2022 11:21,
5454,784,3460,9891,49,-91,-755,3/3/2022 11:21,
5455,1115,3507,9604,79,-182,-671,3/3/2022 11:21,
5456,3637,5020,9705,-64,-104,-738,3/3/2022 11:21,
5457,3972,5618,10284,-202,-77,-300,3/3/2022 11:21,
5458,3775,4905,9662,-148,-214,71,3/3/2022 11:21,
5459,2986,3235,8590,-177,-81,408,3/3/2022 11:21,
5460,2545,2852,9035,-40,0,602,3/3/2022 11:21,
5461,2512,2909,9360,-98,62,797,3/3/2022 11:21,
